Dalvik/1.8.0(Linux; U; Android 8.0;Xperia 5 II Build/FC5AP4GD)[FBAN/FB4A;FBAV/93.0.0.59.91FBBV/4840766FBDM={density=3.0,width=781,height=861}FBLC/ja_JPFBRV/1973734FBCR/Boost MobileFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 5.0;Nova 5T Build/RJNUF1KK)[FBAN/FB4A;FBAV/111.0.0.22.69FBBV/219419FBDM={density=3.0,width=1004,height=968}FBLC/zh_CNFBRV/2962904FBCR/VerizonFBMF/HuaweiFBBD/HuaweiFBPN/com.facebook.katanaFBDV/Nova 5TFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;V2027 Build/GU6ZWYTL)[FBAN/FB4A;FBAV/103.0.0.34.62FBBV/3153519FBDM={density=3.0,width=583,height=1428}FBLC/zh_CNFBRV/3452128FBCR/SprintFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2027FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 4.2.2;ASUS_Z007 Build/K1MRYT3B)[FBAN/FB4A;FBAV/95.0.0.89.80FBBV/6637396FBDM={density=3.0,width=463,height=1649}FBLC/zh_CNFBRV/254045FBCR/O2FBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z007FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;Pixel 4a Build/GX4RSQNH)[FBAN/FB4A;FBAV/89.0.0.90.5FBBV/3212869FBDM={density=3.0,width=666,height=1697}FBLC/pt_BRFBRV/3347208FBCR/Boost MobileFBMF/GoogleFBBD/GoogleFBPN/com.facebook.katanaFBDV/Pixel 4aFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 8.0;SM-A528B Build/OL26SDA7)[FBAN/FB4A;FBAV/83.0.0.68.85FBBV/6918764FBDM={density=3.0,width=615,height=1288}FBLC/es_ESFBRV/8910774FBCR/SprintFBMF/SamsungFBBD/SamsungFBPN/com.facebook.katanaFBDV/SM-A528BFBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 7.0;V2072 Build/MT3OQJ2L)[FBAN/FB4A;FBAV/107.0.0.17.26FBBV/9297058FBDM={density=3.0,width=589,height=1033}FBLC/zh_CNFBRV/5084594FBCR/TelecomFBMF/VivoFBBD/VivoFBPN/com.facebook.katanaFBDV/V2072FBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 7.0;Xperia 5 II Build/DWXRYJZI)[FBAN/FB4A;FBAV/88.0.0.52.89FBBV/5107131FBDM={density=3.0,width=804,height=1665}FBLC/it_ITFBRV/4305894FBCR/VerizonFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 4.2.2;CPH2127 Build/RKHLEMSJ)[FBAN/FB4A;FBAV/105.0.0.52.61FBBV/6328141FBDM={density=3.0,width=543,height=1240}FBLC/zh_CNFBRV/1235621FBCR/VodafoneFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2127FBSV/4.2.2FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 7.0;Xperia 5 II Build/VZCPETX7)[FBAN/FB4A;FBAV/80.0.0.2.94FBBV/2144477FBDM={density=3.0,width=900,height=698}FBLC/fr_FRFBRV/5223093FBCR/O2FBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 5 IIFBSV/7.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;Xperia 1 II Build/9CD5LYLD)[FBAN/FB4A;FBAV/110.0.0.86.40FBBV/1479258FBDM={density=3.0,width=801,height=1043}FBLC/it_ITFBRV/6433848FBCR/SprintFBMF/SonyFBBD/SonyFBPN/com.facebook.katanaFBDV/Xperia 1 IIFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 5.0;ASUS_Z017 Build/DN43311K)[FBAN/FB4A;FBAV/85.0.0.48.41FBBV/2512715FBDM={density=3.0,width=569,height=1757}FBLC/zh_CNFBRV/2759165FBCR/T-MobileFBMF/ASUSFBBD/ASUSFBPN/com.facebook.katanaFBDV/ASUS_Z017FBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 10.0;CPH2171 Build/2GZTGX53)[FBAN/FB4A;FBAV/100.0.0.35.59FBBV/9350162FBDM={density=3.0,width=509,height=1892}FBLC/zh_CNFBRV/9245420FBCR/AT&TFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2171FBSV/10.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.8.0(Linux; U; Android 8.0;LM-Q710 Build/BFT4RRUQ)[FBAN/FB4A;FBAV/113.0.0.53.40FBBV/5883869FBDM={density=3.0,width=460,height=1804}FBLC/de_DEFBRV/8237110FBCR/O2FBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/8.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;CPH2099 Build/RVUVVQMT)[FBAN/FB4A;FBAV/108.0.0.97.38FBBV/3905202FBDM={density=3.0,width=377,height=1098}FBLC/zh_CNFBRV/6229133FBCR/OrangeFBMF/OPPOFBBD/OPPOFBPN/com.facebook.katanaFBDV/CPH2099FBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 6.0;Moto G Power Build/L35ONP5D)[FBAN/FB4A;FBAV/84.0.0.51.4FBBV/2908878FBDM={density=3.0,width=489,height=781}FBLC/zh_TWFBRV/3759580FBCR/Boost MobileFBMF/MotorolaFBBD/MotorolaFBPN/com.facebook.katanaFBDV/Moto G PowerFBSV/6.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/2.1.0(Linux; U; Android 5.0;Poco X3 NFC Build/29TO2M9Y)[FBAN/FB4A;FBAV/90.0.0.28.56FBBV/9913699FBDM={density=3.0,width=669,height=794}FBLC/fr_FRFBRV/4447199FBCR/OrangeFBMF/XiaomiFBBD/XiaomiFBPN/com.facebook.katanaFBDV/Poco X3 NFCFBSV/5.0FBOP/1FBCA/x86:armeabi-v7a]
Dalvik/1.6.0(Linux; U; Android 9.0;LM-Q710 Build/WIREUFO5)[FBAN/FB4A;FBAV/116.0.0.70.59FBBV/8953032FBDM={density=3.0,width=880,height=1896}FBLC/ja_JPFBRV/690765FBCR/VerizonFBMF/LGFBBD/LGFBPN/com.facebook.katanaFBDV/LM-Q710FBSV/9.0FBOP/1FBCA/x86:armeabi-v7a]
